City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
161,Khomutovka,RU,51.9207,34.5619,29.44,72,100,11.7,overcast clouds
162,San Ramon,US,37.7799,-121.978,55.38,50,0,3.44,clear sky
163,Brae,GB,60.3964,-1.353,46.81,76,100,36.06,light rain
164,Moth,IN,25.7167,78.95,80.69,20,0,12.48,clear sky
165,Sucua,EC,-2.4667,-78.1667,66.51,98,100,2.84,light rain
166,Mecca,SA,21.4267,39.8261,86.43,42,75,7.65,broken clouds
167,Fort-Shevchenko,KZ,44.5086,50.263,48.27,61,100,14.14,overcast clouds
168,Oistins,BB,13.0667,-59.5333,80.69,78,40,14.97,scattered clouds
169,Muros,ES,42.7762,-9.0603,59.09,90,99,20.24,overcast clouds
170,Mezen,RU,65.8522,44.24,19.62,91,95,6.76,overcast clouds
171,Suruc,TR,36.9761,38.425,57.94,61,90,4.74,overcast clouds
172,Yar-Sale,RU,66.8333,70.8333,10.26,88,100,15.97,overcast clouds
173,Kholm-Zhirkovskiy,RU,55.5189,33.4731,26.76,86,100,1.19,overcast clouds
174,Bosansko Grahovo,BA,44.1794,16.3639,48.63,86,100,4.41,overcast clouds
175,Mar Del Plata,AR,-38.0023,-57.5575,59.95,94,75,11.5,light rain
176,Corinto,GR,37.9407,22.9573,70.9,54,42,5.44,scattered clouds
177,Maniitsoq,GL,65.4167,-52.9,22.05,69,100,10.16,overcast clouds
178,Shiraz,IR,29.6036,52.5388,67.44,40,75,0.0,broken clouds
179,Sur,OM,22.5667,59.5289,82.63,53,3,8.99,clear sky
180,Hamilton,US,39.1834,-84.5333,31.84,82,100,14.97,haze
181,Shahrud,IR,36.4182,54.9763,55.09,35,100,14.99,overcast clouds
182,Bocana De Paiwas,NI,12.7857,-85.1227,69.64,96,89,3.65,overcast clouds
183,Damghan,IR,36.1683,54.348,56.66,35,100,2.21,overcast clouds
184,Ponta Do Sol,PT,32.6667,-17.1,69.71,78,81,4.88,broken clouds
185,Thompson,CA,55.7435,-97.8558,14.16,85,100,13.8,light snow
186,Eresos,GR,39.1667,25.9333,66.88,77,28,20.36,scattered clouds
187,Abha,SA,18.2164,42.5053,73.22,21,0,3.44,clear sky
188,Roanoke Rapids,US,36.4615,-77.6542,39.34,93,0,4.61,clear sky
189,Benghazi,LY,32.1167,20.0667,73.44,55,3,17.56,clear sky
190,Coro,VE,11.4045,-69.6734,76.93,88,100,9.04,overcast clouds
191,Remontnoye,RU,46.5614,43.6501,51.4,64,100,17.52,light rain
192,Quelimane,MZ,-17.8786,36.8883,87.75,58,40,2.3,scattered clouds
193,Velka Bites,CZ,49.2884,16.2274,41.9,94,100,3.44,light intensity drizzle
194,Umm Lajj,SA,25.0213,37.2685,78.12,52,100,10.58,overcast clouds
195,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,74,82,11.03,broken clouds
196,Kingussie,GB,57.08,-4.0523,42.67,97,100,4.34,moderate rain
197,Polyarnyy,RU,69.1989,33.4478,25.83,82,89,5.5,overcast clouds
198,Cozumel,MX,20.5083,-86.9458,73.47,83,20,0.0,few clouds
199,Olafsvik,IS,64.8945,-23.7142,45.88,76,99,22.75,overcast clouds
200,Snezhnogorsk,RU,69.1933,33.2531,17.38,85,87,4.99,overcast clouds
201,Loubomo,CG,-4.1997,12.6739,71.06,96,100,1.1,light rain
202,Tandalti,SD,13.0167,31.8667,86.54,16,23,13.53,few clouds
203,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,33.38,light intensity drizzle
204,Basqal,AZ,40.7552,48.391,53.65,44,17,12.33,few clouds
205,Harare,ZW,-17.8294,31.0539,83.37,27,1,6.11,clear sky
206,Obera,AR,-27.4871,-55.1199,56.84,76,10,3.22,clear sky
207,Saint-Pierre,RE,-21.3393,55.4781,79.92,50,75,9.22,broken clouds
208,Tucurui,BR,-3.7661,-49.6725,74.98,89,100,3.62,overcast clouds
209,Tromso,NO,69.6496,18.957,29.37,86,0,2.3,clear sky
210,Pitimbu,BR,-7.4706,-34.8086,75.79,78,20,9.78,few clouds
211,Saint George,US,37.1041,-113.5841,36.95,52,0,8.05,clear sky
212,Touros,BR,-5.1989,-35.4608,78.22,74,7,10.27,clear sky
213,Cockburn Town,TC,21.4612,-71.1419,81.48,72,6,16.35,clear sky
214,Chake Chake,TZ,-5.2459,39.7666,85.77,61,60,2.59,light rain
215,Mana,GF,5.6592,-53.7767,76.06,88,100,6.2,overcast clouds
216,Qasigiannguit,GL,68.8193,-51.1922,19.65,88,100,2.39,overcast clouds
217,Campos Gerais,BR,-21.235,-45.7586,57.79,73,0,4.23,clear sky
218,Nioro,GM,13.35,-15.75,80.38,58,17,6.76,few clouds
219,Kanniyakumari,IN,8.0833,77.5667,82.49,69,89,2.64,overcast clouds
220,Novooleksiyivka,UA,46.2269,34.6428,53.92,74,99,8.3,overcast clouds
221,Araouane,ML,18.9048,-3.5265,75.0,13,98,12.8,overcast clouds
222,Nadym,RU,65.5333,72.5167,4.5,81,100,17.11,overcast clouds
223,San Jose,US,37.3394,-121.895,57.9,49,20,3.44,few clouds
224,Lucapa,AO,-8.4192,20.7447,76.57,73,100,1.48,light rain
225,Havoysund,NO,70.9963,24.6622,44.83,76,99,11.68,overcast clouds
226,Dourbali,TD,11.8091,15.8632,87.44,15,3,12.17,clear sky
227,Paita,PE,-5.0892,-81.1144,64.27,85,100,9.53,overcast clouds
228,Maxixe,MZ,-23.8597,35.3472,85.82,54,20,11.5,few clouds
229,Beloha,MG,-25.1667,45.05,89.04,17,0,5.82,clear sky
230,Teberda,RU,43.4456,41.7448,46.76,70,98,9.15,overcast clouds
231,Semey,KZ,50.4111,80.2275,26.82,63,75,17.9,broken clouds
232,Sao Raimundo Nonato,BR,-9.0153,-42.6994,77.7,66,97,2.8,overcast clouds
233,Necochea,AR,-38.5473,-58.7368,56.3,90,42,6.87,scattered clouds
234,Hrodna,BY,53.6884,23.8258,28.26,68,75,6.71,broken clouds
235,Le Mans,FR,48.0,0.2,51.73,87,0,11.5,clear sky
236,Mucurapo,TT,10.6667,-61.5333,77.02,88,100,8.21,light rain
237,Bentiu,SS,9.2333,29.8333,95.11,17,57,5.95,broken clouds
238,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,100,35.68,overcast clouds
239,Yining,CN,29.0361,114.5636,62.15,75,88,0.54,overcast clouds
240,Kudymkar,RU,59.0173,54.656,13.53,70,2,3.87,clear sky
241,Iznik,TR,40.4286,29.7211,68.97,42,99,7.29,overcast clouds
242,Saint Anthony,US,45.0205,-93.218,24.4,89,100,8.05,overcast clouds
