City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Mar Del Plata,AR,2022-11-01 08:55:02,-38.0023,-57.5575,43.88,84,0,3.44
117,Nizwa,OM,2022-11-01 08:59:26,22.9333,57.5333,89.62,25,31,7.49
118,Komsomolskiy,UZ,2022-11-01 08:54:55,40.4272,71.7189,61.52,48,0,4.61
119,Karratha,AU,2022-11-01 08:59:27,-20.7377,116.8463,79.29,29,60,14.23
120,Nikolskoye,RU,2022-11-01 08:53:46,59.7035,30.7861,44.49,98,100,4.38
121,Dikson,RU,2022-11-01 08:53:47,73.5069,80.5464,23.32,78,100,10.83
122,Kattivakkam,IN,2022-11-01 08:59:28,13.2167,80.3167,75.29,92,100,8.21
123,Kaeo,NZ,2022-11-01 08:59:29,-35.1,173.7833,61.32,90,13,3.74
124,Bud,US,2022-11-01 08:54:56,39.447,-86.1758,56.68,96,47,6.08
125,San Patricio,US,2022-11-01 08:59:30,28.017,-97.5169,71.46,87,99,8.1
126,Belmonte,BR,2022-11-01 08:59:30,-15.8631,-38.8828,75.76,90,89,7.54
127,Pitimbu,BR,2022-11-01 08:59:31,-7.4706,-34.8086,75.79,76,83,6.93
128,Constitucion,CL,2022-11-01 08:53:34,-35.3333,-72.4167,50.67,48,0,7.09
129,Sabang,ID,2022-11-01 08:59:32,5.8933,95.3214,82.0,70,92,5.3
130,Kununurra,AU,2022-11-01 08:59:33,-15.7667,128.7333,94.98,21,40,5.75
131,East London,ZA,2022-11-01 08:54:50,-33.0153,27.9116,65.34,72,40,13.8
132,Oranjestad,AW,2022-11-01 08:59:33,12.524,-70.027,80.91,89,42,1.99
133,Tiksi,RU,2022-11-01 08:53:38,71.6872,128.8694,-1.84,98,42,8.19
134,Avarua,CK,2022-11-01 08:53:49,-21.2078,-159.775,73.45,83,75,13.8
135,Andenes,NO,2022-11-01 08:59:35,69.3143,16.1194,48.18,87,75,16.11
136,Pevek,RU,2022-11-01 08:53:41,69.7008,170.3133,6.69,96,100,6.08
137,Qaanaaq,GL,2022-11-01 08:59:36,77.484,-69.3632,13.17,71,100,3.69
138,Souillac,MU,2022-11-01 08:59:36,-20.5167,57.5167,80.98,57,75,12.66
139,Odweyne,SO,2022-11-01 08:59:37,9.4092,45.064,79.41,30,0,3.53
140,Guerrero Negro,MX,2022-11-01 08:59:37,27.9769,-114.0611,65.28,79,38,4.09
141,Tigil,RU,2022-11-01 08:59:38,57.8,158.6667,14.41,98,97,4.21
142,Touros,BR,2022-11-01 09:00:38,-5.1989,-35.4608,78.76,70,68,11.68
143,Siocon,PH,2022-11-01 09:00:39,7.7061,122.1353,82.26,79,94,6.62
144,Hervey Bay,AU,2022-11-01 08:53:30,-25.2986,152.8535,70.41,88,99,7.99
145,Yamada,JP,2022-11-01 09:00:40,39.4667,141.95,57.94,77,100,8.75
146,Beloha,MG,2022-11-01 09:00:41,-25.1667,45.05,92.48,35,18,7.56
